molid,smiles,n_pka,datasets,has_exclude,drug_like_pass,filter_reason,mw,logp,hbd,hba,rotb,tpsa,natoms
mol5326,N[C@@H](CC(=O)O)C(=O)O,82,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,133.1,-1.13,3.0,3.0,3.0,100.62,9.0
mol5479,N[C@@H](Cc1ccc(O)cc1)C(=O)O,64,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,181.19,0.35,3.0,3.0,3.0,83.55,13.0
mol1,NC(Cc1ccccc1)C(=O)O,56,QSARtoolbox|OCHEM|Settimo|Datawarrior,False,True,pass,165.19,0.64,2.0,2.0,3.0,63.32,12.0
mol3089,NCCNCCN,56,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,103.17,-1.51,3.0,3.0,4.0,64.07,7.0
mol5470,N[C@@H](CO)C(=O)O,54,IUPAC_digitized|QSARtoolbox|OCHEM,False,True,pass,105.09,-1.61,3.0,3.0,2.0,83.55,7.0
mol9131,O=C(O)CC(O)C(=O)O,53,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,134.09,-1.09,3.0,3.0,3.0,94.83,9.0
mol754,CC(C)[C@H](N)C(=O)O,52,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM,False,True,pass,117.15,0.05,2.0,2.0,2.0,63.32,8.0
mol5268,CCC(N)C(=O)O,49,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,103.12,-0.19,2.0,2.0,2.0,63.32,7.0
mol3111,NCCNCCNCCN,46,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,146.24,-1.92,4.0,4.0,7.0,76.1,10.0
mol9762,NC(Cc1c[nH]cn1)C(=O)O,46,IUPAC_digitized|QSARtoolbox|OCHEM|Datawarrior,False,True,pass,155.16,-0.64,3.0,3.0,3.0,92.0,11.0
mol870,OCCNCCO,45,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,105.14,-1.44,3.0,3.0,4.0,52.49,7.0
mol888,O=C(O)c1cc(O)c(O)c(O)c1,45,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM,False,True,pass,170.12,0.5,4.0,4.0,1.0,97.99,12.0
mol9215,O=C(O)CNCC(=O)O,43,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,133.1,-1.25,3.0,3.0,4.0,86.63,9.0
mol5278,NCCCCCC(=O)O,42,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,131.18,0.59,2.0,2.0,5.0,63.32,9.0
mol5279,CC(C)(N)C(=O)O,42,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,103.12,-0.19,2.0,2.0,1.0,63.32,7.0
mol26114,O=S(=O)(O)c1ccc(O)c2ncccc12,41,QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,225.22,1.19,2.0,4.0,1.0,87.49,15.0
mol5419,CSCC[C@H](N)C(=O)O,41,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,149.22,0.15,2.0,3.0,4.0,63.32,9.0
mol90,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,40,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,318.87,4.89,0.0,3.0,4.0,6.48,21.0
mol3811,ON=Cc1ccccn1,39,IUPAC_digitized|QSARtoolbox|OOAs_and_NBs|OCHEM,False,True,pass,122.13,0.89,1.0,3.0,1.0,45.48,9.0
mol1785,Cc1cccc(C(=O)O)c1O,38,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,152.15,1.4,2.0,2.0,1.0,57.53,11.0
mol1836,NCCc1ccc(O)cc1,38,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,137.18,0.89,2.0,2.0,2.0,46.25,10.0
mol61,CCN(CC)CC(=O)Nc1c(C)cccc1C,38,Hunt|QSARtoolbox|ibond_AttenGpKa|OOAs_and_NBs|OCHEM|Settimo|Jensen|Datawarrior|Baltruschat_chembl_pka,False,True,pass,234.34,2.58,1.0,2.0,5.0,32.34,17.0
mol8913,O=P(O)(O)CP(=O)(O)O,38,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,176.0,-0.7,4.0,2.0,2.0,115.06,9.0
